Neighborhood,total_units,occupied_units,vacant_units,white_not_hisp,black_not_hisp,hispanic,asian_pacific_isl_not_hisp,two_or_more_not_hisp,other_not_hisp,year
Algiers Point,1513,1229,284,1692,552,159,8,38,6,2010
Audubon,5956,5335,621,13479,760,798,521,243,64,2010
B.W. Cooper,413,318,95,9,732,54,1,6,4,2010
Bayou St. John,2284,1719,565,1464,1730,222,31,63,19,2010
Behrman,3825,2877,948,681,6569,592,98,93,31,2010
Black Pearl,1070,936,134,1162,373,96,62,34,7,2010
Broadmoor,3183,2203,980,1551,3288,359,59,87,37,2010
Bywater,2498,1763,735,1872,1105,224,25,88,23,2010
Central Business District,1782,1260,522,1410,526,134,169,29,8,2010
Central City,8728,5279,3449,1952,8147,795,161,147,55,2010
City Park,1652,1447,205,2244,207,166,34,47,10,2010
Desire Dev & Neighborhood,911,678,233,36,1910,30,2,14,13,2010
Dillard,2503,1901,602,143,3991,112,16,56,55,2010
Dixon,728,520,208,76,1147,36,1,7,3,2010
East Carrollton,2372,2084,288,2931,836,225,154,78,29,2010
East Riverside,1616,1324,292,1350,1118,147,34,42,8,2010
Fairgrounds,3203,2496,707,1453,3324,254,37,81,43,2010
Filmore,2352,1654,698,808,2980,241,101,75,22,2010
Fischer Development,328,269,59,3,827,13,0,6,0,2010
Florida Area,821,507,314,15,1256,23,0,7,1,2010
Florida Development,3,2,1,0,6,0,0,0,0,2010
French Quarter,4619,2635,1984,3340,166,143,93,41,30,2010
Freret,934,648,286,320,1235,115,7,29,9,2010
Garden District,1221,1063,158,1702,62,97,25,29,11,2010
Gentilly Terrace,4277,3351,926,1256,6385,315,42,128,84,2010
Gentilly Woods,1252,999,253,648,1953,62,121,27,6,2010
Gert Town,1499,1060,439,165,3166,189,31,56,7,2010
Hollygrove,2626,1761,865,96,4110,118,4,37,12,2010
Holy Cross,1767,1040,727,188,2423,58,5,27,13,2010
Iberville Development,865,482,383,2,1193,18,0,25,0,2010
Irish Channel,1991,1665,326,1659,1345,260,29,62,18,2010
Lake Catherine,507,365,142,753,56,27,44,3,9,2010
Lake Terrace & Oaks,1033,982,51,1406,639,196,158,40,25,2010
"Lakeshore/
Lake Vista",1631,1435,196,3086,74,168,86,20,19,2010
Lakeview,3399,2672,727,5637,217,383,81,54,22,2010
Lakewood,730,596,134,1457,66,69,36,12,2,2010
Leonidas,4050,3001,1049,2076,4199,298,63,106,27,2010
Little Woods,15174,11591,3583,937,29360,738,245,285,133,2010
Lower Garden District,4895,3843,1052,4277,1204,520,184,133,45,2010
Lower Ninth Ward,2039,1061,978,50,2713,42,3,23,11,2010
Marigny,2359,1881,478,2245,378,202,49,71,28,2010
"Marlyville/
Fontainebleau",2981,2443,538,3676,1375,344,194,115,45,2010
McDonogh,1379,963,416,225,2105,51,5,28,14,2010
Mid-City,7079,5258,1821,3998,8045,2229,109,194,58,2010
Milan,3348,2372,976,1710,3121,316,65,45,29,2010
Milneburg,1807,1337,470,211,2962,132,25,44,31,2010
Navarre,1382,1120,262,1940,116,173,22,30,17,2010
"New Aurora/
English Turn",2220,1943,277,1133,3657,266,614,79,20,2010
Old Aurora,7403,6465,938,5976,9146,934,394,235,96,2010
Pines Village,1572,1187,385,54,3235,87,1,20,13,2010
Plum Orchard,1906,1473,433,33,3781,98,3,27,9,2010
Pontchartrain Park,729,551,178,12,1440,8,0,13,9,2010
Read Blvd East,3035,2473,562,246,5911,114,923,59,30,2010
Read Blvd West,2007,1493,514,133,3902,66,67,37,8,2010
Seventh Ward,6889,4248,2641,676,8899,385,31,122,74,2010
St. Anthony,2036,1430,606,451,2573,243,190,29,24,2010
St. Bernard Area,688,403,285,45,882,27,1,16,3,2010
St. Claude,4446,2713,1733,953,5531,212,40,67,17,2010
St. Roch,4178,2604,1574,463,5758,250,20,80,61,2010
St. Thomas Development,1171,1001,170,339,1674,73,32,28,15,2010
"Tall Timbers/
Brechtel",6230,5136,1094,2549,8311,545,299,151,51,2010
Touro,1845,1572,273,2332,434,144,42,36,10,2010
Treme'/Lafitte,3037,1913,1124,724,3094,226,18,58,35,2010
Tulane/Gravier,1878,1222,656,439,2597,423,138,26,26,2010
U.S. Naval Support Area,994,804,190,529,1477,132,21,27,19,2010
Uptown,3475,2921,554,4134,1305,326,85,97,37,2010
"Viavant/
Venetian Isles",467,344,123,91,516,183,40,4,6,2010
Village de l'est,2836,2414,422,124,3477,712,3581,85,29,2010
West End,2246,1551,695,2348,347,262,135,41,14,2010
West Lake Forest,2010,1468,542,30,3843,95,8,36,3,2010
West Riverside,2876,2493,383,3263,1083,261,51,58,31,2010
Whitney,1137,911,226,302,1941,36,14,24,11,2010
Z-no land mass-all Lake,0,0,0,0,0,0,0,0,0,2010
Algiers Point,1414,1162,252,1622,341,165,22,113,26,2020
Audubon,5862,4923,939,12534,361,3057,513,447,142,2020
B.W. Cooper,513,464,49,54,1238,59,8,37,3,2020
Bayou St. John,2145,1901,244,2245,789,318,58,152,21,2020
Behrman,3381,2949,432,465,6122,996,68,221,56,2020
Black Pearl,1076,905,171,1336,250,146,59,67,8,2020
Broadmoor,3056,2643,413,2358,2705,631,94,207,44,2020
Bywater,2512,2067,445,2195,829,242,63,205,29,2020
Central Business District,4491,2925,1566,2471,940,334,380,177,49,2020
Central City,8507,6832,1675,2686,9250,1348,175,512,106,2020
City Park,1606,1472,134,2157,136,239,48,124,15,2020
Desire Dev & Neighborhood,1114,1023,91,115,2716,70,4,73,11,2020
Dillard,2483,2175,308,428,4547,174,30,181,53,2020
Dixon,737,637,100,92,1143,117,6,32,7,2020
East Carrollton,2313,1977,336,2772,514,374,155,194,32,2020
East Riverside,1536,1327,209,1606,614,209,47,112,13,2020
