Parish,Year,Population,"Occupied 
units",Average household size,"Adult correctional
facilties","Juvenile 
facilities","Nursing 
facilities",Other institutional,Total institutional,"College/
university student housing","Military
quarters",Other  noninstitutional,Total noninstitutional,Total group quarters population
Jefferson,1980,454592,155685,2.9,na,na,na,na,2131,na,na,na,265,2396
Jefferson,1990,448306,166398,2.68,768,226,"1,769",2,2765,0,8,294,302,3067
Jefferson,2000,455466,176234,2.56,691,229,"1,907",213,3040,0,39,"1,278",1317,4357
Jefferson,2010,432552,169647,2.53,943,143,"1,563",0,2649,3,7,652,662,3311
Orleans,1980,557515,206435,2.63,na,na,na,na,5288,na,na,na,8445,13733
Orleans,1990,496938,188235,2.55,"4,258",79,"3,307",144,7788,"4,902","2,490","1,852",9244,17032
Orleans,2000,484674,188251,2.48,"6,160",86,"2,976",550,9772,"4,731",255,"2,883",7869,17641
Orleans,2010,343829,142158,2.33,"3,749",52,"1,509",199,5509,"5,366",86,"2,204",7656,13165
Plaquemines,1980,26049,7750,3.27,na,na,na,na,531,na,na,na,187,718
Plaquemines,1990,25575,8213,3.04,90,0,0,341,431,0,149,0,149,580
Plaquemines,2000,26757,9021,2.89,311,0,76,259,646,0,20,62,82,728
Plaquemines,2010,23042,8077,2.82,26,27,121,0,174,0,50,48,98,272
St. Bernard,1980,64097,20591,3.1,na,na,na,na,305,na,na,na,14,319
St. Bernard,1990,66631,23156,2.85,88,19,425,0,532,0,0,40,40,572
St. Bernard,2000,67229,25123,2.64,296,0,431,0,727,0,0,61,61,788
St. Bernard,2010,35897,13221,2.69,228,37,0,0,265,0,0,28,28,293
St. Charles,1980,37259,11487,3.22,na,na,na,na,182,na,na,na,60,242
St. Charles,1990,42437,14333,2.94,63,0,251,0,314,0,0,37,37,351
St. Charles,2000,48072,16422,2.9,95,0,246,31,372,0,0,58,58,430
St. Charles,2010,52780,18557,2.81,504,0,86,0,590,0,0,2,2,592
St. John the Baptist,1980,31924,9305,3.42,na,na,na,na,144,na,na,na,1,145
St. John the Baptist,1990,39996,12710,3.13,58,0,119,0,177,0,0,3,3,180
St. John the Baptist,2000,43044,14283,2.98,315,0,109,0,424,0,0,19,19,443
St. John the Baptist,2010,45924,15965,2.85,226,0,241,0,467,0,0,4,4,471
St. Tammany,1980,110869,35695,3.06,na,na,na,na,1297,na,na,na,241,1538
St. Tammany,1990,144508,50346,2.84,217,72,795,427,1511,89,0,154,243,1754
St. Tammany,2000,191268,69253,2.73,550,57,886,472,1965,66,0,315,381,2346
St. Tammany,2010,233740,87521,2.66,118,37,718,171,1044,76,0,155,231,1275
New Orleans Metro Total,1980,1282305,446948,2.83,na,na,na,na,9878,na,na,na,9213,19091
New Orleans Metro Total,1990,1264391,463391,2.68,"5,542",396,"6,666",914,13518,"4,991","2,647","2,380",10018,23536
New Orleans Metro Total,2000,1316510,498587,2.59,"8,418",372,"6,631","1,525",16946,"4,797",314,"4,676",9787,26733
New Orleans Metro Total,2010,1167764,455146,2.52,"5,794",296,"4,238",370,10698,"5,445",143,"3,093",8681,19379
Jefferson,2020,440781,178028,2.46,930,122,1297,37,2386,0,0,567,567,2953
Orleans,2020,383997,165125,2.23,1721,94,2004,32,3851,9569,31,2083,11683,15534
Plaquemines,2020,23515,8190,2.78,500,31,93,0,624,0,44,117,161,785
St. Bernard,2020,43764,16223,2.68,155,11,27,0,193,0,0,40,40,233
St. Charles,2020,52549,19187,2.71,432,0,88,0,520,0,0,73,73,593
St. John the Baptist,2020,42477,15803,2.66,155,0,93,116,364,0,0,12,12,376
St. Tammany,2020,264570,102005,2.57,319,0,1227,132,1678,110,0,735,845,2523
New Orleans Metro Total,2020,1251653,504561,2.44,4212,258,4829,317,9616,9679,75,3627,13381,22997
