Parish,Year,Population,Total change from previous decade,Percent change from previous decade,Share of total
Jefferson,1980,454592,-,-,35%
Jefferson,1990,448306,"-6,286",-1%,35%
Jefferson,2000,455466,"7,160",2%,35%
Jefferson,2010,432552,"-22,914",-5%,37%
Jefferson,2020,440781,8229,0.0190243022804195,0.346568174581022
Orleans,1980,557515,-,-,43%
Orleans,1990,496938,"-60,577",-11%,39%
Orleans,2000,484674,"-12,264",-2%,37%
Orleans,2010,343829,"-140,845",-29%,29%
Orleans,2020,383997,40168,0.116825515008914,0.301921224677535
Plaquemines,1980,26049,-,-,2%
Plaquemines,1990,25575,-474,-2%,2%
Plaquemines,2000,26757,"1,182",5%,2%
Plaquemines,2010,23042,"-3,715",-14%,2%
Plaquemines,2020,23515,473,0.0205277319677111,0.0184888881899917
St. Bernard,1980,64097,-,-,5%
St. Bernard,1990,66631,"2,534",4%,5%
St. Bernard,2000,67229,598,1%,5%
St. Bernard,2010,35897,"-31,332",-47%,3%
St. Bernard,2020,43764,7867,0.21915480402262,0.0344098534019476
St. Charles,1980,37259,-,-,3%
St. Charles,1990,42437,"5,178",14%,3%
St. Charles,2000,48072,"5,635",13%,4%
St. Charles,2010,52780,"4,708",10%,5%
St. Charles,2020,52549,-231,-0.00437665782493369,0.0413171416328248
St. John the Baptist,1980,31924,-,-,2%
St. John the Baptist,1990,39996,"8,072",25%,3%
St. John the Baptist,2000,43044,"3,048",8%,3%
St. John the Baptist,2010,45924,"2,880",7%,4%
St. John the Baptist,2020,42477,-3447,-0.0750587927880847,0.0333979376417724
St. Tammany,1980,110869,-,-,9%
St. Tammany,1990,144508,"33,639",30%,11%
St. Tammany,2000,191268,"46,760",32%,15%
St. Tammany,2010,233740,"42,472",22%,20%
St. Tammany,2020,264570,30830,0.131898690853085,0.208020631444869
New Orleans Metro Total,1980,1282305,-,-,100%
New Orleans Metro Total,1990,1264391,"-17,914",-1%,100%
New Orleans Metro Total,2000,1316510,"52,119",4%,100%
New Orleans Metro Total,2010,1167764,"-148,746",-11%,100%
New Orleans Metro Total,2020,1271845,104081,0.0891284540369458,1
St. James,1980,NA,NA,NA,NA
St. James,1990,NA,NA,NA,NA
St. James,2000,NA,NA,NA,NA
St. James,2010,22102,NA,NA,NA
St. James,2020,20192,-1910,-0.0864175187765813,0.0158761484300367
