Neighborhood,"Adults,              2000","Adults,              2010","Total                     change,                    2000-10","Percent                   change,                 2000-10","Share of                total,                2000","Share of                    total,                2010","Density per                         sq mi of              developed land,                   2000","Density per                       sq mi of                       developed land,                            2010","Percent adults,                          2000","Percent adults,                         2010","Adults, 2020","Share of                    total,                2020","Density per                       sq mi of                       developed land,                            2020","Total change, 2010-20","Percent change, 2010-20","Percent Adults, 2020"
Algiers Point,1936,2062,126,7%,0.50%,0.80%,6899,6306,81%,84%,1897,0.62%,6850,-165,-8.00194%,82.8746%
Audubon,12608,13784,1176,9%,3.50%,5.10%,5953,6601,85%,87%,15066,4.92%,7219,1282,9.30064%,88.3429%
B.W. Cooper,2239,590,-1649,-74%,0.60%,0.20%,7518,1867,52%,73%,922,0.30%,2913,332,56.27119%,65.9042%
Bayou St. John,3554,2894,-660,-19%,1.00%,1.10%,8568,7040,73%,82%,3124,1.02%,7859,230,7.94748%,87.1895%
Behrman,6933,5829,-1104,-16%,2.00%,2.20%,4595,3842,66%,72%,5682,1.86%,3767,-147,-2.52187%,71.6700%
Black Pearl,1519,1527,8,1%,0.40%,0.60%,6467,6324,86%,88%,1656,0.54%,6784,129,8.44794%,88.7460%
Broadmoor,5470,4187,-1283,-23%,1.50%,1.50%,9817,7406,76%,78%,4889,1.60%,8646,702,16.76618%,80.9571%
Bywater,3942,2954,-988,-25%,1.10%,1.10%,4566,3374,77%,89%,3212,1.05%,3519,258,8.73392%,90.1488%
Central Business District,1705,2211,506,30%,0.50%,0.80%,1687,2197,95%,97%,4165,1.36%,4119,1954,88.37630%,95.7251%
Central City,13374,9025,-4349,-33%,3.80%,3.30%,9459,6417,70%,80%,11161,3.65%,7949,2136,23.66759%,79.2854%
City Park,2416,2380,-36,-1%,0.70%,0.90%,1058,1033,86%,88%,2396,0.78%,1096,16,0.67227%,88.1206%
Desire Dev & Neighborhood,3086,1348,-1738,-56%,0.90%,0.50%,1649,705,69%,67%,1892,0.62%,974,544,40.35608%,63.2988%
Dillard,5156,3553,-1603,-31%,1.50%,1.30%,5613,3851,80%,81%,4582,1.50%,4933,1029,28.96144%,84.6481%
Dixon,1274,919,-355,-28%,0.40%,0.30%,5307,3634,72%,72%,1069,0.35%,4226,150,16.32209%,76.5211%
