Neighborhood,"Children,              2000","Children,              2010","Total                     change,                    2000-10","Percent                   change,                 2000-10","Share of                total,                2000","Share of                    total,                2010","Density per                         sq mi of              developed land,                   2000","Density per                       sq mi of                       developed land,                            2010","Percent children,                      2000","Percent children,                   2010","Children, 2020","Density per                       sq mi of                       developed land,                            2020","Share of                    total,                2020","Total change, 2010-20","Percent change, 2010-20","Percent Children, 2020"
Algiers Point,445,393,-52,-12%,0.30%,0.50%,1586,1202,19%,16%,392,1416,0.25%,-1,-0.2545%,17.1254%
Audubon,2290,2081,-209,-9%,1.80%,2.80%,1081,997,15%,13%,1988,953,1.28%,-93,-4.4690%,11.6571%
B.W. Cooper,2100,216,-1884,-90%,1.60%,0.30%,7052,684,48%,27%,477,1507,0.31%,261,120.8333%,34.0958%
Bayou St. John,1307,635,-672,-51%,1.00%,0.90%,3151,1545,27%,18%,459,1155,0.29%,-176,-27.7165%,12.8105%
Behrman,3497,2235,-1262,-36%,2.70%,3.10%,2318,1473,34%,28%,2246,1489,1.44%,11,0.4922%,28.3300%
Black Pearl,253,207,-46,-18%,0.20%,0.30%,1077,857,14%,12%,210,860,0.13%,3,1.4493%,11.2540%
Broadmoor,1762,1194,-568,-32%,1.40%,1.60%,3162,2112,24%,22%,1150,2034,0.74%,-44,-3.6851%,19.0429%
Bywater,1154,383,-771,-67%,0.90%,0.50%,1337,437,23%,11%,351,385,0.23%,-32,-8.3551%,9.8512%
Central Business District,89,65,-24,-27%,0.10%,0.10%,88,65,5%,3%,186,184,0.12%,121,186.1538%,4.2749%
Central City,5698,2232,-3466,-61%,4.40%,3.00%,4030,1587,30%,20%,2916,2077,1.87%,684,30.6452%,20.7146%
City Park,397,328,-69,-17%,0.30%,0.40%,174,142,14%,12%,323,148,0.21%,-5,-1.5244%,11.8794%
Desire Dev & Neighborhood,1365,657,-708,-52%,1.10%,0.90%,729,344,31%,33%,1097,565,0.71%,440,66.9711%,36.7012%
Dillard,1315,820,-495,-38%,1.00%,1.10%,1431,889,20%,19%,831,895,0.53%,11,1.3415%,15.3519%
Dixon,498,351,-147,-30%,0.40%,0.50%,2074,1388,28%,28%,328,1297,0.21%,-23,-6.5527%,23.4789%
East Carrollton,767,605,-162,-21%,0.60%,0.80%,2038,1596,17%,14%,551,1438,0.35%,-54,-8.9256%,13.6352%
East Riverside,762,404,-358,-47%,0.60%,0.60%,3014,1630,24%,15%,406,1638,0.26%,2,0.4950%,15.6094%
Fairgrounds,1471,941,-530,-36%,1.10%,1.30%,1690,1081,22%,18%,719,833,0.46%,-222,-23.5919%,13.4569%
Filmore,1546,936,-610,-39%,1.20%,1.30%,1315,806,22%,22%,1280,1087,0.82%,344,36.7521%,21.4729%
Fischer Development,1120,330,-790,-71%,0.90%,0.50%,6311,1749,55%,39%,353,1883,0.23%,23,6.9697%,33.7799%
Florida Area,828,335,-493,-60%,0.60%,0.50%,2636,1064,26%,26%,422,1340,0.27%,87,25.9701%,24.9852%
Florida Development,925,3,-922,-100%,0.70%,0.00%,15761,54,58%,50%,53,958,0.03%,50,1 666.6667%,33.1250%
